longUrl,ttlSeconds
https://example.com/very/long/path/to/resource,86400
https://example.com/path/1,604800
https://example.com/very/very/long/path/to/resource/2,3600
https://example.com/very/very/very/long/path/to/resource/3,7776000
https://example.com/very/long/path/to/resource/4,86400
https://example.com/very/long/path/to/resource/5,432000
https://example.com/very/long/path/to/resource/6,7776000
https://example.com/very/long/path/to/resource/7,86400
https://example.com/very/long/path/to/resource/8,3600
https://example.com/very/long/path/to/resource/9,604800
https://example.com/very/long/path/to/resource/10,432000
https://example.com/very/long/path/to/resource/11,7776000
https://example.com/very/long/path/to/resource/12,86400
https://example.com/very/long/path/to/resource/13,3600
https://example.com/very/long/path/to/resource/14,604800
https://example.com/very/long/path/to/resource/15,86400
https://example.com/very/long/path/to/resource/16,7776000
https://example.com/very/long/path/to/resource/17,432000
https://example.com/very/long/path/to/resource/18,86400
https://example.com/very/long/path/to/resource/19,3600
